DLL-K	 DLL-cuBLAS	 PyCUDA	 Numba	 TF	 PyTorch	 
1.4377	 0.7979	 3.9737	 66.2120	 9.3776	 2.8165	 
1.2536	 0.3705	 3.1646	 63.9774	 7.0306	 0.8874	 
1.2902	 0.3880	 3.2905	 64.9060	 8.5044	 1.0037	 
1.2721	 0.3870	 3.2095	 64.9995	 6.8376	 0.8921	 
1.2655	 0.3694	 3.1007	 64.2288	 6.2238	 0.8491	 
1.2550	 0.3704	 3.1063	 65.7875	 7.3065	 0.8616	 
1.2845	 0.4187	 3.1895	 64.7570	 7.0717	 0.9343	 
1.2652	 0.3916	 3.1898	 64.6313	 6.4937	 0.8887	 
1.2645	 0.3694	 3.2321	 64.3702	 7.0628	 0.8359	 
1.2639	 0.3923	 3.0504	 64.6580	 6.3473	 0.8375	 
1.2729	 0.4165	 3.0670	 64.1879	 7.5897	 0.8672	 
