DLL-K	 DLL-cuBLAS	 PyCUDA	 Numba	 TF	 PyTorch	 
0.5105	 0.4448	 1.6621	 24.5733	 4.2074	 2.2635	 
0.3041	 0.1333	 1.1717	 23.1700	 3.9095	 0.4022	 
0.3031	 0.1334	 1.0962	 23.3757	 4.1874	 0.4067	 
0.3033	 0.1334	 1.1768	 23.3854	 4.2133	 0.4039	 
0.3041	 0.1331	 1.2350	 23.0196	 4.1855	 0.5202	 
0.3046	 0.1332	 1.1723	 23.7426	 3.1599	 0.4729	 
0.3101	 0.1333	 1.0957	 23.1297	 2.9288	 0.4846	 
0.3058	 0.1329	 1.3123	 22.9410	 2.9429	 0.4676	 
0.3032	 0.1330	 1.2267	 23.4723	 2.8828	 0.4045	 
0.3030	 0.1330	 1.1138	 23.2490	 2.8940	 0.4040	 
0.3026	 0.1457	 1.1608	 23.7103	 2.8299	 0.4082	 
