DLL-K	 DLL-cuBLAS	 PyCUDA	 Numba	 TF	 PyTorch	 
0.1353	 0.2797	 0.0069	 0.5590	 0.7187	 1.9213	 
0.0225	 0.0074	 0.0219	 0.1116	 0.0199	 0.0085	 
0.0219	 0.0076	 0.0217	 0.1120	 0.0112	 0.0089	 
0.0217	 0.0075	 0.0218	 0.1139	 0.0194	 0.0087	 
0.0220	 0.0071	 0.0216	 0.1108	 0.0109	 0.0090	 
0.0217	 0.0074	 0.0217	 0.1109	 0.0198	 0.0087	 
0.0219	 0.0072	 0.0217	 0.1123	 0.0113	 0.0085	 
0.0216	 0.0083	 0.0217	 0.1128	 0.0143	 0.0087	 
0.0221	 0.0082	 0.0233	 0.1097	 0.0116	 0.0088	 
0.0227	 0.0094	 0.0226	 0.1105	 0.0114	 0.0086	 
0.0225	 0.0086	 0.0218	 0.1128	 0.0116	 0.0082	 
