DLL-K	 DLL-cuBLAS	 PyCUDA	 Numba	 TF	 PyTorch	 
0.3695	 0.4431	 0.0409	 1.2188	 0.8665	 2.1495	 
0.2598	 0.2108	 0.2067	 0.8573	 0.3374	 0.2644	 
0.2643	 0.1962	 0.2040	 0.8550	 0.3316	 0.2707	 
0.2570	 0.2016	 0.2144	 0.8777	 0.3384	 0.2648	 
0.2567	 0.2068	 0.2129	 0.8609	 0.3354	 0.2413	 
0.2588	 0.1936	 0.2116	 0.8709	 0.3589	 0.2516	 
0.2538	 0.1946	 0.2037	 0.8478	 0.3771	 0.2780	 
0.2563	 0.2002	 0.2077	 0.8756	 0.3434	 0.2543	 
0.2577	 0.2117	 0.2034	 0.8610	 0.3370	 0.2567	 
0.2593	 0.1964	 0.2171	 0.8609	 0.3349	 0.2437	 
0.2657	 0.1962	 0.2005	 0.8835	 0.3364	 0.2464	 
